Control Configuration, Channel, Period (s), Positive Duty(%)
idle, 1, 0.018302, 8.13435690088515
idle, 2, 0.018302, 8.15320725951375
idle, 3, 0.018302, 5.903244535306493
idle, 4, 0.018302, 8.194732895364732
idle, 5, 0.018302, 5.436564322895751
idle, 6, 0.018302, 5.436623742145737
midthrust, 1, 0.01830175, 8.13583400949927
midthrust, 2, 0.01830175, 8.153296339058338
midthrust, 3, 0.01830175, 7.942388208076085
midthrust, 4, 0.01830175, 8.19054073340088
midthrust, 5, 0.01830175, 5.438809222947039
midthrust, 6, 0.01830175, 5.436742627365168
fullthrust, 1, 0.01830175, 8.13583400949927
fullthrust, 2, 0.01830175, 8.154957901105776
fullthrust, 3, 0.01830175, 10.857033467730657
fullthrust, 4, 0.01830175, 8.185009634808535
fullthrust, 5, 0.01830175, 5.43984237409839
fullthrust, 6, 0.01830175, 5.438749955574887
fullrightfullthrust, 1, 0.018302, 10.844443230248059
fullrightfullthrust, 2, 0.018302, 8.159055900718162
fullrightfullthrust, 3, 0.018302, 10.856885276611852
fullrightfullthrust, 4, 0.018302, 8.187741576672812
fullrightfullthrust, 5, 0.018302, 5.437597686884672
fullrightfullthrust, 6, 0.018302, 5.44081637853559
fullleftfullthrust, 1, 0.01830175, 5.5445516976401095
fullleftfullthrust, 2, 0.01830175, 8.157578406731504
fullleftfullthrust, 3, 0.01830175, 10.861345500775391
fullleftfullthrust, 4, 0.01830175, 8.187262353234647
fullleftfullthrust, 5, 0.01830175, 5.436742554675047
fullleftfullthrust, 6, 0.01830175, 5.436683141918259
fulldownfullthrust, 1, 0.01830175, 8.245113102214047
fulldownfullthrust, 2, 0.01830175, 5.443394098064514
fulldownfullthrust, 3, 0.01830175, 10.85946892670745
fulldownfullthrust, 4, 0.01830175, 8.186151936676387
fulldownfullthrust, 5, 0.01830175, 5.437856023012804
fulldownfullthrust, 6, 0.01830175, 5.437855889987991
fullupfullthrust, 1, 0.01830175, 8.052508663051691
fullupfullthrust, 2, 0.01830175, 10.871762665121164
fullupfullthrust, 3, 0.01830175, 10.85946894292147
fullupfullthrust, 4, 0.01830175, 8.187629666855166
fullupfullthrust, 5, 0.01830175, 5.439370600476055
fullupfullthrust, 6, 0.01830175, 5.43874982967863
swbfullthrust, 1, 0.018302, 8.104032296163098
swbfullthrust, 2, 0.018302, 8.156396490736416
swbfullthrust, 3, 0.018302, 10.855525571441344
swbfullthrust, 4, 0.018302, 8.186904393683566
swbfullthrust, 5, 0.018302, 5.442942585486719
swbfullthrust, 6, 0.018302, 10.870705586642385
swafullthrust, 1, 0.018302199999999998, 8.099572606611776
swafullthrust, 2, 0.018302199999999998, 8.15867114325535
swafullthrust, 3, 0.018302199999999998, 10.856618335222361
swafullthrust, 4, 0.018302199999999998, 8.186815015613433
swafullthrust, 5, 0.018302199999999998, 5.441790223342413
swafullthrust, 6, 0.018302199999999998, 5.437478880846433
swaswbfullthrust, 1, 0.018302, 8.100207565037811
swaswbfullthrust, 2, 0.018302, 8.160856406685363
swaswbfullthrust, 3, 0.018302, 10.860015402618078
swaswbfullthrust, 4, 0.018302, 8.1881765812572
swaswbfullthrust, 5, 0.018302, 5.438750112726934
swaswbfullthrust, 6, 0.018302, 10.87215501649387
fulllrightfullthrust, 1, 0.018302199999999998, 8.100665364013167
fulllrightfullthrust, 2, 0.018302199999999998, 8.155303664020854
fulllrightfullthrust, 3, 0.018302199999999998, 10.862200950988699
fulllrightfullthrust, 4, 0.018302199999999998, 10.804283689648669
fulllrightfullthrust, 5, 0.018302199999999998, 5.436445549314985
fulllrightfullthrust, 6, 0.018302199999999998, 5.4397239392895305
fulllleftfullthrust, 1, 0.01830225, 8.098730978897683
fulllleftfullthrust, 2, 0.01830225, 8.156101098545458
fulllleftfullthrust, 3, 0.01830225, 10.860538106420634
fulllleftfullthrust, 4, 0.01830225, 5.441879561207057
fulllleftfullthrust, 5, 0.01830225, 5.443061523911214
fulllleftfullthrust, 6, 0.01830225, 5.438630910728408
fulllleftmidthrust, 1, 0.018302199999999998, 8.102850967539684
fulllleftmidthrust, 2, 0.018302199999999998, 8.160856756458086
fulllleftmidthrust, 3, 0.018302199999999998, 8.794763405698626
fulllleftmidthrust, 4, 0.018302199999999998, 5.445366280684463
fulllleftmidthrust, 5, 0.018302199999999998, 5.439902204801749
fulllleftmidthrust, 6, 0.018302199999999998, 5.439296324812263
fulllrightmidthrust, 1, 0.018302, 8.10184679270025
fulllrightmidthrust, 2, 0.018302, 8.1620387224165
fulllrightmidthrust, 3, 0.018302, 8.760887027948439
fulllrightmidthrust, 4, 0.018302, 10.754015937869523
fulllrightmidthrust, 5, 0.018302, 5.438078728408431
fulllrightmidthrust, 6, 0.018302, 5.439370392806606
idle, 1, 0.01830175, 8.101684213721814
idle, 2, 0.01830175, 8.161787830405611
idle, 3, 0.01830175, 5.459934886428875
idle, 4, 0.01830175, 8.188176105680705
idle, 5, 0.01830175, 5.438749869895039
idle, 6, 0.01830175, 5.442087459769224
